유별,성질,품명,지정수량
제1류,산화성고체,1. 아염소산염류,50kg
제1류,산화성고체,2. 염소산염류,50kg
제1류,산화성고체,3. 과염소산염류,50kg
제1류,산화성고체,4. 무기과산화물,50kg
제1류,산화성고체,5. 브롬산염류,300kg
제1류,산화성고체,6. 질산염류,300kg
제1류,산화성고체,7. 요오드산염류,300kg
제1류,산화성고체,8. 과망간산염류,1000kg
제1류,산화성고체,9. 중크롬산염류,1000kg
제1류,산화성고체,10. 그 밖에 행정안전부령으로 정하는 것,"50kg, 300kg, 1000kg"
제1류,산화성고체,11. 제1호 내지 제10호의 1에 해당하는 어느 하나 이상,"50kg, 300kg, 1000kg"
제2류,가연성고체,1. 황화린,100kg
제2류,가연성고체,2. 적린,100kg
제2류,가연성고체,3. 유황,100kg
제2류,가연성고체,4. 철분,500kg
제2류,가연성고체,5. 금속분,500kg
제2류,가연성고체,6. 마그네슘,500kg
제2류,가연성고체,7. 그 밖에 행정안전부령으로 정하는 것,"100kg, 500kg"
제2류,가연성고체,8. 제1호 내지 제7호의 1에 해당하는 어느 하나 이상,"100kg, 500kg"
제2류,가연성고체,9. 인화성고체,1000kg
제3류,자연발화성물질 및 금수성물질,1. 칼륨,10kg
제3류,자연발화성물질 및 금수성물질,2. 나트륨,10kg
제3류,자연발화성물질 및 금수성물질,3. 알킬알루미늄,10kg
제3류,자연발화성물질 및 금수성물질,4. 알킬리튬,10kg
제3류,자연발화성물질 및 금수성물질,5. 황린,20kg
제3류,자연발화성물질 및 금수성물질,6. 알칼리금속(칼륨 및 나트륨은 제외) 및 알칼리토,50kg
제3류,자연발화성물질 및 금수성물질,7. 유기금속화합불(알킬알루미늄 및 알킬리튬은 제외),50kg
제3류,자연발화성물질 및 금수성물질,8. 금속의 수소화물,300kg
제3류,자연발화성물질 및 금수성물질,9. 금속의 인화물,300kg
제3류,자연발화성물질 및 금수성물질,10. 칼슘 또는 알루미늄의 탄화물,300kg
제3류,자연발화성물질 및 금수성물질,11. 그 밖에 행정안전부령으로 정하는 것,"10kg, 20kg, 50kg, 300kg"
제3류,자연발화성물질 및 금수성물질,12. 제1호 내지 제11호의 1에 해당하는 어느 하나 이상,"10kg, 20kg, 50kg, 300kg"
제4류,인화성액체,1. 특수인화물,50L
제4류,인화성액체,2. 제1석유류 비수용성액체,200L
제4류,인화성액체,3. 제1석유류 수용성액체,400L
제4류,인화성액체,4. 알코올류,400L
제4류,인화성액체,5. 제2석유류 비수용성액체,1000L
제4류,인화성액체,6. 제2석유류 수용성액체,2000L
제4류,인화성액체,7. 제3석유류 비수용성액체,2000L
제4류,인화성액체,8. 제3석유류 수용성액체,4000L
제5류,자기반응성물질,1. 유기과산화물,10kg
제5류,자기반응성물질,2. 질산에스테르류,10kg
제5류,자기반응성물질,3. 니트로화합물,200kg
제5류,자기반응성물질,4. 니트로소화합물,200kg
제5류,자기반응성물질,5. 아조화합물,200kg
제5류,자기반응성물질,6. 디아조화합물,200kg
제5류,자기반응성물질,7. 히드라진 유도체,200kg
제5류,자기반응성물질,8. 히드록실아민,100kg
제5류,자기반응성물질,9. 히드록실아민염류,100kg
제5류,자기반응성물질,10. 그 밖에 행정안전부령으로 정하는 것,"10kg,100kg 또는 200kg"
제5류,자기반응성물질,11. 제1호 내지 제10호의 1에 해당하는 어느 하나 이상,"10kg,100kg 또는 200kg"
제6류,산화성액체1. 과염소산,1. 과염소산,300kg
제6류,산화성액체1. 과염소산,2. 과산화수소,300kg
제6류,산화성액체1. 과염소산,3. 질산,300kg
제6류,산화성액체1. 과염소산,4. 그 밖에 행정안전부령으로 정하는 것,300kg
제6류,산화성액체1. 과염소산,5. 제1호 내지 제4호의 1에 해당하는 어느 하나 이상,300kg
